n,trial,seed,epsilon,runtime_seconds,result
10,0,100000,0.1,0.00041250000504078344,2758
10,1,100001,0.1,0.00039590000233147293,2634
10,2,100002,0.1,0.000371000001905486,2376
10,3,100003,0.1,0.0004132000030949712,3223
10,4,100004,0.1,0.0002271999983349815,2001
10,5,100005,0.1,0.0002808999997796491,2372
10,6,100006,0.1,0.00031149999995250255,2763
10,7,100007,0.1,0.00045870000030845404,2578
10,8,100008,0.1,0.00026500000240048394,2785
10,9,100009,0.1,0.0003269000008003786,2514
10,10,100010,0.1,0.0004188999955658801,2851
10,12,100012,0.1,0.0002762000003713183,2497
10,11,100011,0.1,0.0005039000025135465,2629
10,13,100013,0.1,0.00029240000003483146,2532
10,15,100015,0.1,0.00037480000173673034,2298
10,14,100014,0.1,0.0004628000024240464,2740
10,16,100016,0.1,0.0002928000030806288,3451
10,17,100017,0.1,0.00047760000597918406,2807
10,18,100018,0.1,0.0003378999972483143,3337
10,20,100020,0.1,0.000301799998851493,1868
10,19,100019,0.1,0.00038189999759197235,2971
10,21,100021,0.1,0.00031149999995250255,1740
10,22,100022,0.1,0.0004082000014022924,3440
10,23,100023,0.1,0.0003209999995306134,2590
10,25,100025,0.1,0.0003253999966545962,2019
10,24,100024,0.1,0.00047420000191777945,2401
10,26,100026,0.1,0.00044860000343760476,1910
10,27,100027,0.1,0.00041880000208038837,2165
10,28,100028,0.1,0.00033229999826289713,2386
10,29,100029,0.1,0.00030399999377550557,1804
20,1,200001,0.1,0.005310800006554928,5491
20,0,200000,0.1,0.005810199996631127,5260
20,2,200002,0.1,0.005848200002219528,5909
20,3,200003,0.1,0.00607079999463167,5265
20,4,200004,0.1,0.006281599999056198,4731
20,5,200005,0.1,0.005708300006517675,6021
20,6,200006,0.1,0.006020700006047264,5026
20,7,200007,0.1,0.004942400002619252,4364
20,8,200008,0.1,0.005945800003246404,4954
20,9,200009,0.1,0.005419900000561029,5360
20,10,200010,0.1,0.005630899999232497,5267
20,11,200011,0.1,0.005616499998723157,5048
20,12,200012,0.1,0.0058649999991757795,5343
20,13,200013,0.1,0.005085299999336712,4438
20,14,200014,0.1,0.00620129999879282,4728
20,15,200015,0.1,0.00567830000363756,4563
20,16,200016,0.1,0.0063698000012664124,5470
20,17,200017,0.1,0.0058147000017925166,5134
20,18,200018,0.1,0.0059923999942839146,4746
20,21,200021,0.1,0.005620999996608589,5136
20,19,200019,0.1,0.008742199999687728,6321
20,24,200024,0.1,0.005227200002991594,5376
20,23,200023,0.1,0.005953499996394385,4754
20,22,200022,0.1,0.007508299997425638,5517
20,20,200020,0.1,0.008924299996579066,4613
20,26,200026,0.1,0.00575340000068536,4680
20,25,200025,0.1,0.007685700002184603,4138
20,27,200027,0.1,0.005672699997376185,4894
20,28,200028,0.1,0.0056031999993138015,5200
20,29,200029,0.1,0.00862589999451302,4720
50,1,500001,0.1,0.07089059999998426,11369
50,2,500002,0.1,0.06923890000325628,11450
50,5,500005,0.1,0.07008539999515051,15472
50,4,500004,0.1,0.07781070000055479,12732
50,0,500000,0.1,0.08514899999863701,11413
50,6,500006,0.1,0.07881990000169026,11109
50,7,500007,0.1,0.085776399995666,12084
50,3,500003,0.1,0.08978119999665068,13454
50,9,500009,0.1,0.0714771999992081,10950
50,8,500008,0.1,0.07488249999732943,10627
50,10,500010,0.1,0.07224380000116071,11549
50,11,500011,0.1,0.0771489000035217,12795
50,12,500012,0.1,0.08049290000053588,11769
50,13,500013,0.1,0.08040009999967879,11371
50,14,500014,0.1,0.07356219999928726,11471
50,15,500015,0.1,0.07896849999815458,13006
50,16,500016,0.1,0.06840029999875696,13188
50,18,500018,0.1,0.07360580000386108,13496
50,17,500017,0.1,0.07576930000504944,13866
50,19,500019,0.1,0.071733700002369,12183
50,22,500022,0.1,0.07213839999894844,11965
50,20,500020,0.1,0.07859569999709493,11659
50,21,500021,0.1,0.07986800000071526,12889
50,23,500023,0.1,0.07685730000230251,12504
50,24,500024,0.1,0.07126409999909811,13378
50,26,500026,0.1,0.07193890000053216,10648
50,25,500025,0.1,0.07327349999832222,13205
50,27,500027,0.1,0.07500189999700524,11627
50,28,500028,0.1,0.07602649999898858,13328
50,29,500029,0.1,0.0801221000001533,13035
100,1,1000001,0.1,0.35601560000213794,24655
100,0,1000000,0.1,0.3689837999991141,23768
100,3,1000003,0.1,0.35454849999950966,24824
100,4,1000004,0.1,0.3668284000013955,22953
100,7,1000007,0.1,0.3470498999959091,22597
100,2,1000002,0.1,0.3893177999998443,26226
100,5,1000005,0.1,0.377174000001105,25343
100,6,1000006,0.1,0.37266010000166716,25622
100,9,1000009,0.1,0.3688356999991811,24469
100,8,1000008,0.1,0.3972302000038326,27227
100,11,1000011,0.1,0.36190129999886267,22803
100,10,1000010,0.1,0.38175170000613434,26035
100,12,1000012,0.1,0.37892529999953695,24675
100,13,1000013,0.1,0.39343820000067353,26974
100,14,1000014,0.1,0.3854898999998113,25809
100,15,1000015,0.1,0.405460400004813,26272
100,16,1000016,0.1,0.41852550000476185,25583
100,17,1000017,0.1,0.5138086000006297,28131
100,19,1000019,0.1,0.5038816000014776,26862
100,20,1000020,0.1,0.4906020000053104,25000
100,18,1000018,0.1,0.5183242999992217,27982
100,21,1000021,0.1,0.5014496000003419,25066
100,23,1000023,0.1,0.4753631999992649,27322
100,22,1000022,0.1,0.5222068000002764,25382
100,24,1000024,0.1,0.39055070000176784,22961
100,25,1000025,0.1,0.37630179999541724,25132
100,27,1000027,0.1,0.3823107999996864,26194
100,29,1000029,0.1,0.37685570000030566,25321
100,26,1000026,0.1,0.41853550000087125,26722
100,28,1000028,0.1,0.42519000000174856,25546
200,0,2000000,0.1,1.6982261000011931,51057
200,2,2000002,0.1,1.6563488000028883,50559
200,1,2000001,0.1,1.8641680000000633,52446
200,4,2000004,0.1,1.662298200004443,52015
200,7,2000007,0.1,1.6504053999960888,48389
200,6,2000006,0.1,1.6974051999932271,51861
200,5,2000005,0.1,1.7327444000038668,49482
200,3,2000003,0.1,1.910112300000037,50813
200,8,2000008,0.1,1.7249405999973533,49871
200,9,2000009,0.1,1.7417808000027435,49603
200,10,2000010,0.1,1.7495329000012134,52734
200,12,2000012,0.1,1.699001099994348,46610
200,11,2000011,0.1,1.8825158999970881,49127
200,13,2000013,0.1,1.9332142999992357,51125
200,14,2000014,0.1,1.9123908999972627,50166
200,15,2000015,0.1,1.8691940999997314,50656
200,16,2000016,0.1,1.9168378000031225,49529
200,18,2000018,0.1,1.905393200002436,50292
200,17,2000017,0.1,1.9337613000025158,51677
200,19,2000019,0.1,1.829397900000913,47401
200,20,2000020,0.1,1.7208270999981323,46818
200,21,2000021,0.1,1.6822991999943042,46357
200,23,2000023,0.1,1.6391868999999133,47323
200,22,2000022,0.1,1.9464355999953113,53336
200,24,2000024,0.1,1.7410359999994398,48902
200,25,2000025,0.1,1.7089993999979924,47925
200,26,2000026,0.1,1.7059497999944142,49496
200,28,2000028,0.1,1.6896603999994113,47700
200,27,2000027,0.1,1.7610597999955644,51069
200,29,2000029,0.1,1.8026394999978947,52022
500,0,5000000,0.1,12.564807300004759,124386
500,1,5000001,0.1,12.986636699999508,126036
500,4,5000004,0.1,12.315601500005869,123379
500,2,5000002,0.1,12.56930110000394,127242
500,3,5000003,0.1,12.40916859999561,124383
500,5,5000005,0.1,12.624859099996684,126773
500,6,5000006,0.1,12.855559700001322,125501
500,7,5000007,0.1,13.182098900004348,128378
500,8,5000008,0.1,12.758625100002973,128207
500,12,5000012,0.1,12.018778400000883,122496
500,9,5000009,0.1,12.752931700000772,123151
500,10,5000010,0.1,12.470854799998051,125698
500,13,5000013,0.1,12.188507100006973,118076
500,11,5000011,0.1,12.562344900004973,123874
500,14,5000014,0.1,12.458495299993956,120751
500,15,5000015,0.1,12.525341799999296,123953
500,16,5000016,0.1,14.607533700000204,129191
500,17,5000017,0.1,14.18985370000155,123218
500,18,5000018,0.1,14.289194099997985,125512
500,20,5000020,0.1,14.161080099998799,124430
500,21,5000021,0.1,14.41353440000239,128017
500,22,5000022,0.1,13.976508799998555,125112
