n,trials,mean_s,ci_low,ci_high,half_width_b,b_over_a,std_s
10,30.0,0.00036426000054531996,0.00033674499971732096,0.00039177500137331896,2.7515000827998995e-05,0.07553670671170955,7.368652552655759e-05
20,30.0,0.006164343333269501,0.005772365163451157,0.006556321503087844,0.0003919781698183439,0.063587984741668,0.0010497368179898854
50,30.0,0.07604412333312208,0.07412998876180145,0.0779582579044427,0.0019141345713206295,0.025171367456436985,0.005126146527582765
100,30.0,0.4106505633341537,0.38984665323296075,0.4314544734353466,0.02080391010119291,0.05066085854669679,0.055713894479110015
200,30.0,1.7789254299990716,1.7409914858487991,1.816859374149344,0.037933944150272306,0.021324077732866018,0.10158896819322139
500,30.0,13.570223256667184,13.135637090603957,14.00480942273041,0.4345861660632275,0.03202498277614637,1.1638431275829864
1000,30.0,75.51748287333393,73.78129800433904,77.25366774232883,1.736184868994896,0.022990502370252627,4.649588472402721
2000,30.0,314.95680852333317,312.7303336603071,317.1832833863592,2.2264748630260467,0.0070691434595899555,5.96260919104391
5000,30.0,2051.326245783333,2011.8593173254121,2090.793174241254,39.46692845792085,0.019239713107092698,105.69437556803817
10000,30.0,8825.29671037,8015.570910461666,9635.022510278333,809.7257999083332,0.091750546920069,2168.485518043025
