n,trial,seed,epsilon,exact_sum,approx_sum,ratio,bound_lower,bound_satisfied,feasible
10,0,1100000,0.5,2942,2850,0.9687287559483345,0.6666666666666666,1,1
10,0,1100000,0.1,2942,2935,0.9976206662134602,0.9090909090909091,1,1
10,0,1100000,0.01,2942,2942,1.0,0.9900990099009901,1,1
10,0,1100000,0.001,2942,2942,1.0,0.9990009990009991,1,1
10,1,1100001,0.5,2203,2203,1.0,0.6666666666666666,1,1
10,1,1100001,0.1,2203,2197,0.9972764412165229,0.9090909090909091,1,1
10,1,1100001,0.01,2203,2203,1.0,0.9900990099009901,1,1
10,1,1100001,0.001,2203,2203,1.0,0.9990009990009991,1,1
10,2,1100002,0.5,3050,2942,0.9645901639344262,0.6666666666666666,1,1
10,2,1100002,0.1,3050,3050,1.0,0.9090909090909091,1,1
10,2,1100002,0.01,3050,3050,1.0,0.9900990099009901,1,1
10,2,1100002,0.001,3050,3050,1.0,0.9990009990009991,1,1
10,4,1100004,0.5,2910,2868,0.9855670103092784,0.6666666666666666,1,1
10,4,1100004,0.1,2910,2902,0.9972508591065292,0.9090909090909091,1,1
10,4,1100004,0.01,2910,2909,0.9996563573883162,0.9900990099009901,1,1
10,4,1100004,0.001,2910,2910,1.0,0.9990009990009991,1,1
10,3,1100003,0.5,3000,2972,0.9906666666666667,0.6666666666666666,1,1
10,3,1100003,0.1,3000,2989,0.9963333333333333,0.9090909090909091,1,1
10,3,1100003,0.01,3000,3000,1.0,0.9900990099009901,1,1
10,3,1100003,0.001,3000,3000,1.0,0.9990009990009991,1,1
10,5,1100005,0.5,2642,2566,0.9712339137017411,0.6666666666666666,1,1
10,5,1100005,0.1,2642,2639,0.9988644965934897,0.9090909090909091,1,1
10,5,1100005,0.01,2642,2642,1.0,0.9900990099009901,1,1
10,5,1100005,0.001,2642,2642,1.0,0.9990009990009991,1,1
10,6,1100006,0.5,2802,2750,0.9814418272662384,0.6666666666666666,1,1
10,6,1100006,0.1,2802,2794,0.9971448965024983,0.9090909090909091,1,1
10,6,1100006,0.01,2802,2801,0.9996431120628123,0.9900990099009901,1,1
10,6,1100006,0.001,2802,2802,1.0,0.9990009990009991,1,1
10,7,1100007,0.5,3538,3535,0.999152063312606,0.6666666666666666,1,1
10,7,1100007,0.1,3538,3534,0.9988694177501414,0.9090909090909091,1,1
10,7,1100007,0.01,3538,3537,0.9997173544375353,0.9900990099009901,1,1
10,7,1100007,0.001,3538,3538,1.0,0.9990009990009991,1,1
10,8,1100008,0.5,2867,2824,0.9850017439832578,0.6666666666666666,1,1
10,8,1100008,0.1,2867,2866,0.9996512033484478,0.9090909090909091,1,1
10,8,1100008,0.01,2867,2866,0.9996512033484478,0.9900990099009901,1,1
10,8,1100008,0.001,2867,2867,1.0,0.9990009990009991,1,1
10,9,1100009,0.5,2516,2497,0.9924483306836248,0.6666666666666666,1,1
10,9,1100009,0.1,2516,2516,1.0,0.9090909090909091,1,1
10,9,1100009,0.01,2516,2516,1.0,0.9900990099009901,1,1
10,9,1100009,0.001,2516,2516,1.0,0.9990009990009991,1,1
10,10,1100010,0.5,3291,3204,0.9735642661804923,0.6666666666666666,1,1
10,10,1100010,0.1,3291,3283,0.9975691279246429,0.9090909090909091,1,1
10,10,1100010,0.01,3291,3291,1.0,0.9900990099009901,1,1
10,10,1100010,0.001,3291,3291,1.0,0.9990009990009991,1,1
10,11,1100011,0.5,2788,2759,0.9895982783357246,0.6666666666666666,1,1
10,11,1100011,0.1,2788,2787,0.9996413199426112,0.9090909090909091,1,1
10,11,1100011,0.01,2788,2787,0.9996413199426112,0.9900990099009901,1,1
10,11,1100011,0.001,2788,2788,1.0,0.9990009990009991,1,1
10,12,1100012,0.5,2338,2278,0.9743370402053037,0.6666666666666666,1,1
10,12,1100012,0.1,2338,2334,0.998289136013687,0.9090909090909091,1,1
10,12,1100012,0.01,2338,2337,0.9995722840034217,0.9900990099009901,1,1
10,12,1100012,0.001,2338,2338,1.0,0.9990009990009991,1,1
10,13,1100013,0.5,3319,3219,0.9698704429044893,0.6666666666666666,1,1
10,13,1100013,0.1,3319,3299,0.9939740885808979,0.9090909090909091,1,1
